Pos,Team,W,L,Pct,GB
1,Denver Nuggets,53,29,.646,'-
10,Oklahoma City Thunder,40,42,.488,13.0
11,Dallas Mavericks,38,44,.463,15.0
12,Utah Jazz,37,45,.451,16.0
13,Portland Trail Blazers,33,49,.402,20.0
14,Houston Rockets,22,60,.268,31.0
15,San Antonio Spurs,22,60,.268,31.0
2,Memphis Grizzlies,51,31,.622,2.0
3,Sacramento Kings,48,34,.585,5.0
4,Phoenix Suns,45,37,.549,8.0
5,Los Angeles Clippers,44,38,.537,9.0
6,Golden State Warriors,44,38,.537,9.0
7,Los Angeles Lakers,43,39,.524,10.0
8,Minnesota Timberwolves,42,40,.512,11.0
9,New Orleans Pelicans,42,40,.512,11.0
